ID,Ten,GioiTinh,ChucVu,PhongBan,HieuSuat,NgayVaoLam,TrangThai,Luong,Thuong,SoDienThoai,Email
1,Hoang Thi Chi,Nam,Nhan vien,HR,90,2020-07-29,Da nghi viec,18320370,3893127,0056203077,hoangthichi772@gmail.com
2,Le Thanh Trang,Nu,Quan ly,Marketing,75,2020-02-21,Dang lam viec,19942148,2134491,0827717482,lethanhtrang583@company.vn
3,Do Thanh Giang,Nam,Nhan vien,Ke toan,94,2021-10-17,Dang lam viec,16504069,4473812,0609971688,dothanhgiang765@gmail.com
4,Dang Minh Chi,Nam,Nhan vien,IT,87,2019-11-04,Da nghi viec,15590535,7851356,0730995675,dangminhchi971@gmail.com
5,Do Ngoc An,Nu,Truong phong,Marketing,89,2021-01-23,Dang lam viec,15826948,2690647,0063196570,dongocan560@company.vn
6,Vu Van Trang,Nam,Truong phong,IT,86,2024-03-23,Dang lam viec,29492153,5358064,0009420928,vuvantrang7@company.vn
7,Le Quang Linh,Nam,Truong phong,HR,78,2022-09-17,Dang lam viec,12982809,1032039,0544171202,lequanglinh651@gmail.com
8,Hoang Ngoc Nam,Nu,Quan ly,Marketing,97,2020-05-02,Da nghi viec,23794676,2088459,0179233244,hoangngocnam767@yahoo.com
9,Dang Thi Giang,Nu,Quan ly,Marketing,60,2024-09-01,Dang lam viec,19270493,3329697,0490290798,dangthigiang146@gmail.com
10,Nguyen Duc An,Nu,Quan ly,IT,67,2020-06-03,Da nghi viec,29570122,4534694,0975440589,nguyenducan688@gmail.com
11,Le Thanh Nam,Nu,Truong phong,Marketing,97,2020-04-13,Dang lam viec,17671276,4398822,0071326627,lethanhnam300@yahoo.com
12,Pham Hong Trang,Nam,Nhan vien,IT,77,2023-05-07,Da nghi viec,13559350,7123151,0569218555,phamhongtrang597@gmail.com
13,Hoang Quang Trang,Nam,Nhan vien,Ke toan,96,2019-10-11,Dang lam viec,21239845,1683576,0361092500,hoangquangtrang446@gmail.com
14,Dang Van Khanh,Nu,Truong phong,Marketing,63,2018-04-24,Dang lam viec,13605549,2247874,0232338038,dangvankhanh189@yahoo.com
15,Do Ngoc Dung,Nu,Nhan vien,Marketing,74,2020-07-01,Da nghi viec,23559398,3554090,0363833378,dongocdung167@yahoo.com
16,Phan Minh Trang,Nam,Nhan vien,HR,85,2019-09-08,Dang lam viec,14010988,2895767,0937835828,phanminhtrang595@yahoo.com
17,Dang Minh Hoa,Nam,Nhan vien,Ke toan,61,2018-05-01,Da nghi viec,13277356,1768652,0013928862,dangminhhoa777@yahoo.com
18,Hoang Duc An,Nam,Truong phong,Ke toan,76,2023-05-01,Dang lam viec,19903517,4659134,0077453958,hoangducan359@yahoo.com
19,Vu Ngoc Hoa,Nam,Nhan vien,HR,76,2021-09-05,Da nghi viec,14889735,2266571,0472880941,vungochoa697@yahoo.com
20,Le Van An,Nu,Quan ly,IT,95,2022-05-13,Da nghi viec,15021115,5929578,0215811048,levanan758@gmail.com
21,Dang Hong Hoa,Nu,Nhan vien,Marketing,66,2019-05-28,Dang lam viec,18961211,2353269,0943025061,danghonghoa479@gmail.com
22,Phan Duc Trang,Nam,Truong phong,Marketing,77,2024-10-01,Dang lam viec,22884572,3787628,0990524639,phanductrang371@company.vn
23,Le Thi Khanh,Nam,Quan ly,IT,60,2020-12-18,Dang lam viec,23936245,2504520,0873494941,lethikhanh401@company.vn
24,Le Van Binh,Nu,Quan ly,HR,95,2021-02-23,Da nghi viec,18024679,2341822,0118288780,levanbinh526@yahoo.com
25,Pham Minh Khanh,Nam,Nhan vien,HR,71,2022-10-14,Dang lam viec,13560335,3606145,0033211958,phamminhkhanh615@gmail.com
26,Hoang Van Nam,Nu,Nhan vien,HR,89,2018-08-19,Dang lam viec,19954274,2888876,0761259981,hoangvannam642@company.vn
27,Nguyen Thanh Khanh,Nam,Truong phong,Ke toan,91,2021-02-02,Dang lam viec,10751293,1674768,0609005689,nguyenthanhkhanh375@gmail.com
28,Pham Hong Nam,Nu,Quan ly,HR,69,2018-07-24,Da nghi viec,14896426,3481703,0147096187,phamhongnam463@gmail.com
29,Dang Minh Giang,Nam,Truong phong,Ke toan,63,2021-05-06,Dang lam viec,18373330,3772735,0549874351,dangminhgiang102@company.vn
30,Dang Thanh Khanh,Nam,Nhan vien,HR,88,2024-11-26,Da nghi viec,16335012,1063870,0998821577,dangthanhkhanh7@yahoo.com
31,Tran Thanh An,Nam,Truong phong,Ke toan,80,2021-07-27,Dang lam viec,15504127,4758349,0310138403,tranthanhan830@company.vn
32,Tran Hong Binh,Nu,Quan ly,Ke toan,82,2020-01-27,Da nghi viec,21044906,4126541,0741587912,tranhongbinh197@yahoo.com
